#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
ACAjaccio,AJAuxerre,1,0,2016,9,2,6
AngersSCO,SCBastia,1,0,2016,9,9,118
ASMonaco,StadeRennaisFC,1,1,2016,9,20,138
ChamoisNiortais,ClermontFoot,1,1,2016,9,31,34
DijonFCO,StadeLavallois,2,0,2016,9,43,136
ESTACTroyes,EAGuingamp,0,1,2016,9,49,45
FBBP01,EvianTGFC,0,2,2016,9,53,51
FCLorient,GirondinsdeBordeaux,3,2,2016,9,59,74
FCMetz,NîmesOlympique,1,2,2016,9,61,90
GazélecFCAjaccio,ToulouseFC,2,2,2016,9,72,140
LOSC,MontpellierHéraultSC,2,0,2016,9,84,88
OGCNice,FCNantes,1,2,2016,9,91,65
OlympiqueLyonnais,StadedeReims,1,0,2016,9,96,134
ParisFC,ASNancyLorraine,1,1,2016,9,99,21
ParisSaint-Germain,OlympiquedeMarseille,2,1,2016,9,101,94
RCLens,FCSochaux-Montbéliard,1,0,2016,9,106,69
RedStarFC,StadeBrestois29,1,0,2016,9,112,131
SMCaen,ASSaint-Etienne,1,0,2016,9,123,24
USCréteil-Lusitanos,HavreAC,2,1,2016,9,147,77
ValenciennesFC,ToursFC,0,0,2016,9,155,141
ASNancyLorraine,AJAuxerre,0,1,2016,8,21,6
ASSaint-Etienne,OGCNice,1,4,2016,8,24,91
ClermontFoot,ACAjaccio,2,1,2016,8,34,2
EAGuingamp,ASMonaco,3,3,2016,8,45,20
EvianTGFC,RedStarFC,0,1,2016,8,51,112
FCNantes,ParisSaint-Germain,1,4,2016,8,65,101
FCSochaux-Montbéliard,DijonFCO,0,1,2016,8,69,43
GirondinsdeBordeaux,OlympiqueLyonnais,3,1,2016,8,74,96
HavreAC,FCMetz,1,1,2016,8,77,61
MontpellierHéraultSC,FCLorient,2,1,2016,8,88,59
NîmesOlympique,ParisFC,1,1,2016,8,90,99
OlympiquedeMarseille,AngersSCO,1,2,2016,8,94,9
SCBastia,ToulouseFC,3,0,2016,8,118,140
SMCaen,GazélecFCAjaccio,2,0,2016,8,123,72
StadeBrestois29,ChamoisNiortais,1,1,2016,8,131,31
StadedeReims,LOSC,1,0,2016,8,134,84
StadeLavallois,FBBP01,1,3,2016,8,136,53
StadeRennaisFC,ESTACTroyes,1,1,2016,8,138,49
ToursFC,USCréteil-Lusitanos,1,2,2016,8,141,147
ValenciennesFC,RCLens,0,1,2016,8,155,106
ACAjaccio,StadeLavallois,0,0,2016,7,2,136
AJAuxerre,ClermontFoot,1,0,2016,7,6,34
AngersSCO,StadedeReims,0,0,2016,7,9,134
ChamoisNiortais,NîmesOlympique,1,0,2016,7,31,90
DijonFCO,HavreAC,2,1,2016,7,43,77
ESTACTroyes,ASSaint-Etienne,0,1,2016,7,49,24
FBBP01,StadeBrestois29,3,1,2016,7,53,131
FCLorient,SMCaen,2,0,2016,7,59,123
FCMetz,ASNancyLorraine,0,0,2016,7,61,21
GazélecFCAjaccio,StadeRennaisFC,1,1,2016,7,72,138
LOSC,FCNantes,0,1,2016,7,84,65
MontpellierHéraultSC,ASMonaco,2,3,2016,7,88,20
OGCNice,GirondinsdeBordeaux,6,1,2016,7,91,74
OlympiqueLyonnais,SCBastia,2,0,2016,7,96,118
ParisFC,EvianTGFC,0,0,2016,7,99,51
ParisSaint-Germain,EAGuingamp,3,0,2016,7,101,45
RCLens,ToursFC,1,1,2016,7,106,141
RedStarFC,FCSochaux-Montbéliard,0,0,2016,7,112,69
ToulouseFC,OlympiquedeMarseille,1,1,2016,7,140,94
USCréteil-Lusitanos,ValenciennesFC,0,1,2016,7,147,155
AngersSCO,ESTACTroyes,1,0,2016,6,9,49
ASMonaco,FCLorient,2,3,2016,6,20,59
ASNancyLorraine,ChamoisNiortais,1,1,2016,6,21,31
ASSaint-Etienne,FCNantes,2,0,2016,6,24,65
ClermontFoot,ParisFC,1,1,2016,6,34,99
EAGuingamp,GazélecFCAjaccio,2,1,2016,6,45,72
EvianTGFC,AJAuxerre,4,0,2016,6,51,6
FCSochaux-Montbéliard,USCréteil-Lusitanos,0,3,2016,6,69,147
GirondinsdeBordeaux,ToulouseFC,1,1,2016,6,74,140
HavreAC,RedStarFC,0,2,2016,6,77,112
NîmesOlympique,ACAjaccio,0,0,2016,6,90,2
OlympiquedeMarseille,OlympiqueLyonnais,1,1,2016,6,94,96
SCBastia,OGCNice,1,3,2016,6,118,91
SMCaen,MontpellierHéraultSC,2,1,2016,6,123,88
