saison,jouneeTotale,HomeTeam,AwayTeam,FTR,FTHG,FTAG,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Date,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,
2016,1,22,33,A,0,1,7,3.8,1.75,6.12,3.61,1.62,07/08/15,0,0,D,12,7,2,2,3,2,
2016,2,6,35,H,2,1,2.71,3.18,3.1,2.56,3.02,2.92,08/08/15,0,1,A,11,6,3,3,6,2,
2016,2,25,10,A,0,1,1.6,4.4,6.59,1.55,4.01,6,08/08/15,0,1,A,17,8,4,4,14,2,
2016,2,29,3,A,0,2,1.83,3.5,5.53,1.77,3.32,5.04,08/08/15,0,1,A,11,16,4,6,5,9,
2016,2,31,17,H,1,0,2.25,3.19,4.2,2.16,3.04,3.69,08/08/15,0,0,D,9,10,4,4,6,2,
2016,2,32,28,A,1,2,4.3,3.38,2.3,3.78,3.2,2.06,08/08/15,1,0,H,5,19,2,6,2,10,
2016,2,41,2,D,0,0,2.1,3.3,4.43,2.01,3.18,3.97,08/08/15,0,0,D,12,6,4,1,9,3,
2016,3,7,34,A,1,2,1.73,3.85,6,1.67,3.65,5.31,09/08/15,1,0,H,14,14,4,6,4,3,
2016,3,24,23,D,0,0,1.6,4.3,7,1.55,3.92,6.17,09/08/15,0,0,D,21,10,6,5,7,2,
2016,3,40,38,H,2,1,3.2,3.2,2.64,2.93,3.08,2.49,09/08/15,1,1,D,9,11,3,2,3,4,
2016,4,28,22,D,0,0,1.7,3.8,7.5,1.59,3.63,6.52,14/08/15,0,0,D,9,9,3,2,4,6,
2016,5,3,31,D,0,0,2.6,3.25,3.4,2.46,3.01,3.11,15/08/15,0,0,D,10,2,3,1,4,2,
2016,5,10,40,H,1,0,2.4,3.4,3.4,2.27,3.26,3.19,15/08/15,0,0,D,9,13,3,4,3,3,
2016,5,17,24,A,0,1,3.78,3.4,2.3,3.49,3.25,2.14,15/08/15,0,0,D,11,11,3,3,9,2,
2016,5,35,29,H,1,0,2.3,3.3,3.8,2.21,3.13,3.49,15/08/15,0,0,D,10,4,2,0,3,4,
2016,5,38,7,D,1,1,2.01,3.4,4.5,1.97,3.24,4.13,15/08/15,0,0,D,7,17,2,3,1,8,
2016,5,41,32,D,3,3,2.3,3.32,4,2.11,3.2,3.66,15/08/15,1,3,A,11,18,7,6,11,3,
2016,6,23,6,D,1,1,2,3.6,5.18,1.86,3.35,4.49,16/08/15,0,1,A,12,7,4,2,4,2,
2016,6,33,2,H,2,0,1.15,11,41,1.1,9.26,26.42,16/08/15,2,0,H,18,8,6,2,4,1,
2016,6,34,25,H,1,0,3.6,3.5,2.26,3.32,3.31,2.19,16/08/15,1,0,H,15,13,5,4,8,7,
2016,7,29,33,A,0,1,9.1,4.4,1.5,7.91,4.13,1.45,21/08/15,0,0,D,10,9,3,5,2,1,
2016,8,2,3,A,0,2,2.38,3.2,3.8,2.27,2.97,3.54,22/08/15,0,2,A,8,9,3,5,9,3,
2016,8,6,17,H,3,0,2.5,3.15,3.5,2.36,2.97,3.33,22/08/15,2,0,H,10,15,5,4,3,5,
2016,8,24,35,A,1,2,1.62,4,7.5,1.57,3.74,6.5,22/08/15,1,1,D,15,6,4,3,6,1,
2016,8,31,34,H,1,0,2.3,3.2,4,2.2,3.04,3.63,22/08/15,0,0,D,13,2,6,1,1,2,
2016,8,32,10,H,2,1,2.3,3.4,3.5,2.23,3.25,3.27,22/08/15,0,0,D,7,12,4,6,2,3,
2016,8,40,28,D,1,1,3.25,3.3,2.6,2.99,3.14,2.45,22/08/15,1,0,H,13,14,4,3,4,5,
2016,9,22,7,D,0,0,2.25,3.3,4.06,2.1,3.16,3.73,23/08/15,0,0,D,15,12,5,4,12,10,
2016,9,23,38,A,0,1,2.75,3.3,3.07,2.6,3.02,2.89,23/08/15,0,0,D,10,12,2,5,3,4,
2016,9,25,41,H,6,0,1.7,4,6.5,1.62,3.76,5.67,23/08/15,1,0,H,16,6,7,1,6,5,
2016,10,17,25,H,2,0,4.33,3.4,2.1,3.9,3.25,2.02,28/08/15,0,0,D,12,14,5,6,4,8,
2016,11,3,32,D,1,1,2.5,3.25,3.7,2.24,3.08,3.4,29/08/15,1,0,H,5,11,2,5,3,6,
2016,11,10,24,A,0,4,3.5,3.42,2.3,3.29,3.24,2.22,29/08/15,0,2,A,14,13,6,5,8,3,
2016,11,22,2,H,1,0,1.5,4.33,10.5,1.44,3.96,8.6,29/08/15,1,0,H,13,12,5,6,7,4,
2016,11,34,23,H,4,1,2.33,3.3,3.6,2.24,3.15,3.35,29/08/15,1,0,H,14,13,10,4,5,5,
